,exporter_group,Adjusted_deforestation_exposure,Producer country,GID,Year,Commodity
0,ALECON COMERCIAL EXPORTADORA E REPRESENTACAO,0.001967970481123082,Brazil,BRA,2015,Oil palm fruit
1,ARRIFANA INDUSTRIAL IMPORTADORA E EXP DE ALIMENTOS LTDA,0.0012430308173330292,Brazil,BRA,2015,Oil palm fruit
2,BARTH E PENEDO COMERCIO EXTERIOR LTDA - EPP,0.0003491560531024823,Brazil,BRA,2015,Oil palm fruit
3,BIOPALMA DA AMAZONIA S.A. REFLORESTAMENTO INDUSTRIA E C,172.49709526986737,Brazil,BRA,2015,Oil palm fruit
4,BRASIL EXPRESS COMERCIO IMPORTACAO E EXPORTACAO LTDA,0.00012696583749181178,Brazil,BRA,2015,Oil palm fruit
5,BRAZIL AGROBUSINESS COMERCIO INTERNACIONAL DE FRUTAS  EIRELI,0.0009213840290204396,Brazil,BRA,2015,Oil palm fruit
6,BVR TRADING IMPORTACAO E EXPORTACAO LTDA EPP,0.0002539316749836235,Brazil,BRA,2015,Oil palm fruit
7,COIMBRA IMPORTACAO E EXPORTACAO,0.00019044875623771767,Brazil,BRA,2015,Oil palm fruit
8,COMPANHIA REFINADORA DA AMAZONIA,268.8185396944011,Brazil,BRA,2015,Oil palm fruit
9,DISTRIBUIDORA INTERNACIONAL DE PRODUTOS BRASILEIROS EIRELI,5.995608992668889e-05,Brazil,BRA,2015,Oil palm fruit
10,EFX IMPORTACAO E EXPORTACAO LTDA,0.0007582681961316534,Brazil,BRA,2015,Oil palm fruit
11,ETTICA COMERCIO IMPORTACAO E EXPORTACAO LTDA - EPP,0.005247921282994885,Brazil,BRA,2015,Oil palm fruit
12,EXPORTADORA E IMPORTADORA RIO BRANCO LTDA EPP,0.0002539316749836235,Brazil,BRA,2015,Oil palm fruit
13,"EXPORTRADE EXPORTACAO, IMPORTACAO E REPRESENTACOES LTDA",0.0008464389166120784,Brazil,BRA,2015,Oil palm fruit
14,FIRMENICH & CIA.,0.007186795426359428,Brazil,BRA,2015,Oil palm fruit
15,GLOBAL BRIDGES NEGOCIOS INTERNACIONAIS LTDA,0.0016082339415629488,Brazil,BRA,2015,Oil palm fruit
16,HIKARI INDUSTRIA E COMERCIO LTDA,0.0004020584853907372,Brazil,BRA,2015,Oil palm fruit
17,IND E COM DE PROD ALIM CEPERA LTDA,0.0027403459925316037,Brazil,BRA,2015,Oil palm fruit
18,INDUSTRIA E COMERCIO DE COSMETICOS NATURA LTDA,0.0026274874703166597,Brazil,BRA,2015,Oil palm fruit
19,J N DISTRIBUIDORA DE PRODUTOS DE HIGIENE E BELEZA,0.0018692192741850064,Brazil,BRA,2015,Oil palm fruit
20,M S COMERCIAL IMPORTADORA E EXPORTADORA DE ALIMENTOS,2.4687801734518956e-05,Brazil,BRA,2015,Oil palm fruit
21,M8M COMERCIO IMPORTACAO E EXPORTACAO LTDA,4.2321945830603925e-05,Brazil,BRA,2015,Oil palm fruit
22,MAIPUR IMPORT EXPORT COMERCIO LTDA - EPP,0.0012908193478334193,Brazil,BRA,2015,Oil palm fruit
23,NIGATA COMERCIO INTERNACIONAL LTDA,0.0008746535471658144,Brazil,BRA,2015,Oil palm fruit
24,RRIST INDUSTRIA E COMERCIO LTDA,0.08591355003612593,Brazil,BRA,2015,Oil palm fruit
25,SUN.F INTERNATIONAL IMPORTACAO E EXPORTACAO LTDA,7.053657638433987e-06,Brazil,BRA,2015,Oil palm fruit
26,TIREX COMERCIO E LOGISTICA LTDA,0.0008323316013352103,Brazil,BRA,2015,Oil palm fruit
27,TRADEBRAS COMERCIO IMPORTACAO E EXPORTACAO,0.0007617950249508705,Brazil,BRA,2015,Oil palm fruit
28,VALE DOURO COMERCIO E EMPREENDIMENTOS IMOBILIARIOS LTDA - EP,0.00787188192449233,Brazil,BRA,2015,Oil palm fruit
29,VALSAMPA - EXPORTACAO E IMPORTACAO LTDA - EPP,0.0007547413673124366,Brazil,BRA,2015,Oil palm fruit
30,ALECON COMERCIAL EXPORTADORA E REPRESENTACAO,0.02316001305925526,Brazil,BRA,2016,Oil palm fruit
31,ARM IMPORTADORA E EXPORTADORA EIRELI,0.0017802830912967724,Brazil,BRA,2016,Oil palm fruit
32,ARRIFANA INDUSTRIAL IMPORTADORA E EXP DE ALIMENTOS LTDA,0.02783121456485963,Brazil,BRA,2016,Oil palm fruit
33,ASSURUA COMERCIO EXTERIOR LTDA,0.0007447789813131452,Brazil,BRA,2016,Oil palm fruit
34,BARTH E PENEDO COMERCIO EXTERIOR LTDA - EPP,0.0015516228777357193,Brazil,BRA,2016,Oil palm fruit
35,BIOPALMA DA AMAZONIA S.A. REFLORESTAMENTO INDUSTRIA E C,204.25374264521923,Brazil,BRA,2016,Oil palm fruit
36,BVR TRADING IMPORTACAO E EXPORTACAO LTDA EPP,0.00029399170314992583,Brazil,BRA,2016,Oil palm fruit
37,COIMBRA IMPORTACAO E EXPORTACAO,0.0016822858569134642,Brazil,BRA,2016,Oil palm fruit
38,COMPANHIA REFINADORA DA AMAZONIA,516.7168644729801,Brazil,BRA,2016,Oil palm fruit
39,EFX IMPORTACAO E EXPORTACAO LTDA,0.010077382269083566,Brazil,BRA,2016,Oil palm fruit
40,EMBRAIMPEX EMPRESA BRASILEIRA DE IMPORTACOES E EXPORTACOES L,0.002613259583554895,Brazil,BRA,2016,Oil palm fruit
41,ETTICA COMERCIO IMPORTACAO E EXPORTACAO LTDA - EPP,0.025871269877193463,Brazil,BRA,2016,Oil palm fruit
42,"EXPORTRADE EXPORTACAO, IMPORTACAO E REPRESENTACOES LTDA",0.003936222247729561,Brazil,BRA,2016,Oil palm fruit
43,GLOBAL BRIDGES NEGOCIOS INTERNACIONAIS LTDA,0.001339295536571884,Brazil,BRA,2016,Oil palm fruit
44,HIKARI INDUSTRIA E COMERCIO LTDA,0.0018619474532828631,Brazil,BRA,2016,Oil palm fruit
45,IND E COM DE PROD ALIM CEPERA LTDA,0.05708338902827724,Brazil,BRA,2016,Oil palm fruit
46,INDUSTRIA E COMERCIO DE COSMETICOS NATURA LTDA,0.38165022930579523,Brazil,BRA,2016,Oil palm fruit
47,M S COMERCIAL IMPORTADORA E EXPORTADORA DE ALIMENTOS,3.26657447944362e-05,Brazil,BRA,2016,Oil palm fruit
48,MAIPUR IMPORT EXPORT COMERCIO LTDA - EPP,0.00411588384409896,Brazil,BRA,2016,Oil palm fruit
49,P. SEVERINI NETTO COMERCIAL LTDA,0.009211740032031008,Brazil,BRA,2016,Oil palm fruit
50,TIREX COMERCIO E LOGISTICA LTDA,0.0004409875547248885,Brazil,BRA,2016,Oil palm fruit
51,TRADEBRAS COMERCIO IMPORTACAO E EXPORTACAO,0.007725448643884159,Brazil,BRA,2016,Oil palm fruit
52,VALE DOURO COMERCIO E EMPREENDIMENTOS IMOBILIARIOS LTDA - EP,0.04331477759742239,Brazil,BRA,2016,Oil palm fruit
53,AGROPALMA S/A,208.26505056816083,Brazil,BRA,2017,Oil palm fruit
54,ALECON COMERCIAL EXPORTADORA E REPRESENTACAO,0.00904243855238575,Brazil,BRA,2017,Oil palm fruit
55,ARM IMPORTADORA E EXPORTADORA EIRELI,0.00031973263389651274,Brazil,BRA,2017,Oil palm fruit
56,ARRIFANA INDUSTRIAL IMPORTADORA E EXP DE ALIMENTOS LTDA,0.025530650816636538,Brazil,BRA,2017,Oil palm fruit
57,ATACADO FERNANDES DE GENEROS ALIMENTICIOS IMPORTADORA E EXP,0.0015586965902454994,Brazil,BRA,2017,Oil palm fruit
58,BARTH E PENEDO COMERCIO EXTERIOR LTDA - EPP,0.004346365492030718,Brazil,BRA,2017,Oil palm fruit
59,BIOPALMA DA AMAZONIA S.A. REFLORESTAMENTO INDUSTRIA E C,612.8726749911256,Brazil,BRA,2017,Oil palm fruit
60,BRAZIL MERCHANT IMPORTACAO E EXPORTACAO DE MAQUINAS LTDA - E,0.0018584459345234797,Brazil,BRA,2017,Oil palm fruit
61,BVR TRADING IMPORTACAO E EXPORTACAO LTDA EPP,0.0003596992131335768,Brazil,BRA,2017,Oil palm fruit
62,COIMBRA IMPORTACAO E EXPORTACAO,0.0005994986885559612,Brazil,BRA,2017,Oil palm fruit
63,COMPANHIA REFINADORA DA AMAZONIA,32.44752730175012,Brazil,BRA,2017,Oil palm fruit
64,EFX IMPORTACAO E EXPORTACAO LTDA,0.014497876618244998,Brazil,BRA,2017,Oil palm fruit
65,EMBRAIMPEX EMPRESA BRASILEIRA DE IMPORTACOES E EXPORTACOES L,0.003537042262480171,Brazil,BRA,2017,Oil palm fruit
66,ETTICA COMERCIO IMPORTACAO E EXPORTACAO LTDA - EPP,0.020622754886325066,Brazil,BRA,2017,Oil palm fruit
67,EXPORTADORA E IMPORTADORA RIO BRANCO LTDA EPP,0.0002397994754223845,Brazil,BRA,2017,Oil palm fruit
68,"EXPORTRADE EXPORTACAO, IMPORTACAO E REPRESENTACOES LTDA",0.003826799961948886,Brazil,BRA,2017,Oil palm fruit
69,GLOBAL BRIDGES NEGOCIOS INTERNACIONAIS LTDA,0.0012089890219211883,Brazil,BRA,2017,Oil palm fruit
70,HIKARI INDUSTRIA E COMERCIO LTDA,0.0003417142524768979,Brazil,BRA,2017,Oil palm fruit
71,IND E COM DE PROD ALIM CEPERA LTDA,0.05456437230340175,Brazil,BRA,2017,Oil palm fruit
72,INDUSTRIA E COMERCIO DE COSMETICOS NATURA LTDA,0.07943357623366486,Brazil,BRA,2017,Oil palm fruit
73,JPM COMERCIO E EXPORTACAO LTDA,0.016014608300291576,Brazil,BRA,2017,Oil palm fruit
74,MAIPUR IMPORT EXPORT COMERCIO LTDA - EPP,0.0034171425247689798,Brazil,BRA,2017,Oil palm fruit
75,P. SEVERINI NETTO COMERCIAL LTDA,0.001768521131240085,Brazil,BRA,2017,Oil palm fruit
76,PETER KIESSLING 34841092897,0.0007793482951227497,Brazil,BRA,2017,Oil palm fruit
77,SEA OLIMPIC IMPORTACAO E EXPORTACAO EIRELI,0.00042714281559612247,Brazil,BRA,2017,Oil palm fruit
78,"SPT COMIMPEX - COMERCIO, IMPORTACAO E EXPORTACAO LTDA",0.23150641023069368,Brazil,BRA,2017,Oil palm fruit
79,TRADEBRAS COMERCIO IMPORTACAO E EXPORTACAO,0.0040965743717990685,Brazil,BRA,2017,Oil palm fruit
80,VALE DOURO COMERCIO E EMPREENDIMENTOS IMOBILIARIOS LTDA - EP,0.02670766657516808,Brazil,BRA,2017,Oil palm fruit
81,A.R.G.,0.0016643956943560904,Brazil,BRA,2015,Sugar cane
82,ABENGOA BIOENERGIA AGROINDUSTRIA,69.4860106031923,Brazil,BRA,2015,Sugar cane
83,ACUCAR E ALCOOL OSWALDO RIBEIRO DE,78.07730017295552,Brazil,BRA,2015,Sugar cane
84,ACUCAREIRA VIRGOLINO DE OLIVEIRA S/A,1.167996978495502,Brazil,BRA,2015,Sugar cane
85,"ACW COMERCIO, IMPORTACAO E EXPORTACAO DE MANUFATURADOS",3.121741379927601e-06,Brazil,BRA,2015,Sugar cane
86,ADECOAGRO,85.4502620224244,Brazil,BRA,2015,Sugar cane
87,ADM,0.5409163366974553,Brazil,BRA,2015,Sugar cane
88,AGROINDUSTRIAL SANTA JULIANA,41.58643528091697,Brazil,BRA,2015,Sugar cane
89,AGROINDUSTRIAL VISTA ALEGRE,2.41039808984745,Brazil,BRA,2015,Sugar cane
90,AGROVAL-AGROINDUSTRIAL VALE DO PARAIBA,2.938468211776923,Brazil,BRA,2015,Sugar cane
91,AKILA TRADING EXPORTADORA E IMPORTADORA,2.6618651139912486,Brazil,BRA,2015,Sugar cane
92,ALCON-COMPANHIA DE ALCOOL CONCEICAO DA BARRA,0.05022387007530659,Brazil,BRA,2015,Sugar cane
93,ALCOOLVALE S/A ALCOOL E ACUCAR,13.217613279207802,Brazil,BRA,2015,Sugar cane
94,"ALDEKE - COMERCIO, IMPORTACAO E EXPORTACAO",2.3359939569910042e-06,Brazil,BRA,2015,Sugar cane
95,ALECON COMERCIAL EXPORTADORA E REPRESENTACAO,0.0405051618834086,Brazil,BRA,2015,Sugar cane
96,ALIMENTOS ZAELI,7.786646523303347e-05,Brazil,BRA,2015,Sugar cane
97,AMYRIS BRASIL LTDA,1.7988395000730354e-05,Brazil,BRA,2015,Sugar cane
98,ANDRADE ACUCAR E ALCOOL,10.573880928975365,Brazil,BRA,2015,Sugar cane
99,ANTONIO RUETTE AGROINDUSTRIAL,2.8859620756056357,Brazil,BRA,2015,Sugar cane
100,APTI ALIMENTOS LTDA,8.759977338716263e-05,Brazil,BRA,2015,Sugar cane
101,ARAPORA BIOENERGIA S/A,3.979467126805142,Brazil,BRA,2015,Sugar cane
102,ARCO IRIS BRASIL IND COM DE PRODUTOS ALIMENTICIOS LTDA,7.280514499288629e-05,Brazil,BRA,2015,Sugar cane
103,ARM IMPORTADORA E EXPORTADORA EIRELI,8.759977338716263e-05,Brazil,BRA,2015,Sugar cane
104,ATACADO FERNANDES DE GENEROS ALIMENTICIOS IMPORTADORA E EXP,0.40237495909170046,Brazil,BRA,2015,Sugar cane
105,BIAVA DISTRIBUIDORA DE BEBIDAS,0.08966323471583804,Brazil,BRA,2015,Sugar cane
106,BIG BRAND BRASIL S.A,0.000588670477161733,Brazil,BRA,2015,Sugar cane
107,BIOENERGETICA VALE DO PARACATU SA,14.783582646850725,Brazil,BRA,2015,Sugar cane
108,BIOENERGIA DO BRASIL,5.181778688531863,Brazil,BRA,2015,Sugar cane
109,BOM SUCESSO AGROINDUSTRIA LTDA,11.195435582401988,Brazil,BRA,2015,Sugar cane
110,BP BIOENERGIA,43.78488571905419,Brazil,BRA,2015,Sugar cane
111,BP BIOENERGIA ITUMBIARA S.A.,14.900737805114066,Brazil,BRA,2015,Sugar cane
112,BRANCO PERES ACUCAR E ALCOOL S/A,12.610455940536603,Brazil,BRA,2015,Sugar cane
113,BRAZIL AGROBUSINESS COMERCIO INTERNACIONAL DE FRUTAS EIRELI - EPP,0.00019855948634423537,Brazil,BRA,2015,Sugar cane
114,BUNGE,37.75264910791481,Brazil,BRA,2015,Sugar cane
115,BVR TRADING IMPORTACAO E EXPORTACAO LTDA EPP,3.8933232616516735e-05,Brazil,BRA,2015,Sugar cane
116,CACU COMERCIO E INDUSTRIA DE ACUCAR E ALCOOL LTDA,9.091711840548557,Brazil,BRA,2015,Sugar cane
117,CAMIL ALIMENTOS,0.026931674330149282,Brazil,BRA,2015,Sugar cane
118,CANEX EXPORTACAO LTDA,40.324770590064844,Brazil,BRA,2015,Sugar cane
119,CENTRAL ACUCAREIRA SANTO ANTONIO,44.149257949788904,Brazil,BRA,2015,Sugar cane
120,CENTRAL ENERGETICA MORENO ACUCAR E ALCOOL,6.8577796008662855,Brazil,BRA,2015,Sugar cane
121,CENTRAL ENERGETICA MORENO DE MONTE APRAZIVEL ACUCAR E ALCOOL,7.429803979756663,Brazil,BRA,2015,Sugar cane
122,CENTRAL ENERGETICA VALE DO SAPUCAI,23.557177467673114,Brazil,BRA,2015,Sugar cane
123,CERTANO COMERCIAL DE ALIMENTOS LTDA,5.080786856455433e-05,Brazil,BRA,2015,Sugar cane
124,CLEALCO ACUCAR E ALCOOL,131.12125106496342,Brazil,BRA,2015,Sugar cane
125,COFCO,142.43015852715703,Brazil,BRA,2015,Sugar cane
126,COIMBRA IMPORTACAO E EXPORTACAO,0.18914348403593081,Brazil,BRA,2015,Sugar cane
127,COMERCIAL ZAMBI DE PRODUTOS ALIMENTICIOS LTDA - ME,0.0018941017667935393,Brazil,BRA,2015,Sugar cane
128,COMPANHIA AGRO INDUSTRIAL DE GOIANA,13.442677731652706,Brazil,BRA,2015,Sugar cane
129,COMPANHIA ALCOOLQUIMICA NACIONAL-ALCOOLQUIMICA,2.943093479811765,Brazil,BRA,2015,Sugar cane
130,COMPANHIA ENERGETICA SAO JOSE,21.00705014729277,Brazil,BRA,2015,Sugar cane
131,COMPANHIA USINA SAO JOAO,0.1404921272260053,Brazil,BRA,2015,Sugar cane
132,COOPERATIVA AGRICOLA DO VALE DO SATUBA - COPERVALES,1.2847966763450522,Brazil,BRA,2015,Sugar cane
133,COOPERATIVA AGRICOLA REGIONAL DE PRODUTORES DE CANA LTD,17.079035818050478,Brazil,BRA,2015,Sugar cane
134,"COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A",530.7820041780733,Brazil,BRA,2015,Sugar cane
135,COOPERVAL COOPERATIVA AGROINDUSTRIAL VALE DO IVAI,7.941365243059754,Brazil,BRA,2015,Sugar cane
136,COPERSUCAR S.A.,5.228685057855916,Brazil,BRA,2015,Sugar cane
137,COPERTRADING COMERCIO EXPORTACAO E IMPORTACAO,84.81717515083062,Brazil,BRA,2015,Sugar cane
138,COPLASA - ACUCAR E ALCOOL,7.995279983587104,Brazil,BRA,2015,Sugar cane
139,COSTA BIOENERGIA,18.730344106262525,Brazil,BRA,2015,Sugar cane
140,CZARNIKOW BRASIL LTDA.,42.51778010894391,Brazil,BRA,2015,Sugar cane
141,DA MATA S.A. - ACUCAR E ALCOOL,38.315635915517916,Brazil,BRA,2015,Sugar cane
142,DACALDA ACUCAR E ALCOOL,11.235870664466688,Brazil,BRA,2015,Sugar cane
143,DELLA COLETTA BIOENERGIA,17.783369921334014,Brazil,BRA,2015,Sugar cane
144,DESTILARIA AGUA BONITA LTDA,2.8437724674130735,Brazil,BRA,2015,Sugar cane
145,DESTILARIA ALCIDIA SA,6.873594474621277,Brazil,BRA,2015,Sugar cane
146,DIANA - DESTILARIA DE ALCOOL NOVA AVANHANDAVA S/A,4.973385056961022,Brazil,BRA,2015,Sugar cane
147,DISA DESTILARIA ITAUNAS SA,0.7578353728804982,Brazil,BRA,2015,Sugar cane
148,DISTRIBUIDORA DE ALIMENTOS PIARARA LTDA,0.03807670149895336,Brazil,BRA,2015,Sugar cane
149,DISTRIBUIDORA INTERNACIONAL DE PRODUTOS BRASILEIROS EIRELI,0.0006034651055560094,Brazil,BRA,2015,Sugar cane
150,E D & F MAN BRASIL S/A.,48.6374638751986,Brazil,BRA,2015,Sugar cane
151,EDEN STADIKOWSKI & CIA LTDA,2.686393050539654e-05,Brazil,BRA,2015,Sugar cane
152,EFX IMPORTACAO E EXPORTACAO LTDA,0.0004792625818446224,Brazil,BRA,2015,Sugar cane
153,EISA - EMPRESA INTERAGRICOLA,29.68499633288301,Brazil,BRA,2015,Sugar cane
154,ENERGETICA SAO SIMAO S/A,0.8300565193841365,Brazil,BRA,2015,Sugar cane
155,ENERGY COMERCIAL IMPORTADORA E EXPORTADORA LTDA,3.4141871518009226,Brazil,BRA,2015,Sugar cane
156,ENGELHART,4.477321750899424,Brazil,BRA,2015,Sugar cane
157,ETTICA COMERCIO IMPORTACAO E EXPORTACAO LTDA - EPP,9.262871963391735e-06,Brazil,BRA,2015,Sugar cane
158,EXPORTADORA E IMPORTADORA GLOBO,1.1679969784955019e-05,Brazil,BRA,2015,Sugar cane
159,"EXPORTRADE EXPORTACAO, IMPORTACAO E REPRESENTACOES LTDA",0.01518396072044153,Brazil,BRA,2015,Sugar cane
160,F. BRA AGROPECUARIA LTDA,4.3653203230790876e-05,Brazil,BRA,2015,Sugar cane
161,FERRARI AGROINDUSTRIA S/A,12.287142502253102,Brazil,BRA,2015,Sugar cane
162,FUNDACAO DE APOIO INST AO DESENV CIENT E TECNOLOGICO,3.58232617368741e-07,Brazil,BRA,2015,Sugar cane
163,GIVAUDAN DO BRASIL LTDA.,0.0027253262831561714,Brazil,BRA,2015,Sugar cane
164,GLENCANE BIOENERGIA S.A.,43.41673930074961,Brazil,BRA,2015,Sugar cane
165,GLOBAL MARITIME-COMERCIAL IMPORTADORA E EXPORTADORA LTD,0.0047693209955233,Brazil,BRA,2015,Sugar cane
166,GOIASA GOIATUBA ALCOOL LTDA,8.33538766109207,Brazil,BRA,2015,Sugar cane
167,GUARANI,102.60867257913945,Brazil,BRA,2015,Sugar cane
168,HARALD INDUSTRIA E COMERCIO DE ALIMENTOS S.A.,0.0008746350707300485,Brazil,BRA,2015,Sugar cane
169,HOSA TRADING IMPORTACAO E EXPORTACAO S.A.,0.10038934030168839,Brazil,BRA,2015,Sugar cane
170,IBERIA INDUSTRIAL E COMERCIAL LTDA,10.70640089282465,Brazil,BRA,2015,Sugar cane
171,IFF ESSENCIAS E FRAGRANCIAS LTDA,2.3029239687990495e-06,Brazil,BRA,2015,Sugar cane
172,INDUSTRIA DE PRODUTOS ALIMENTICIOS MAVALERIO LTDA,0.008783921276775426,Brazil,BRA,2015,Sugar cane
173,INDUSTRIAS ALMINA LTDA - EPP,0.06307183683875711,Brazil,BRA,2015,Sugar cane
174,INTERMARES COMERCIO EXTERIOR EIRELI - ME,0.00012794022048883612,Brazil,BRA,2015,Sugar cane
175,IRACEMA ZEFERINO RODRIGUES,5.25598640322976e-05,Brazil,BRA,2015,Sugar cane
176,ITAIQUARA ALIMENTOS,0.1358781498286219,Brazil,BRA,2015,Sugar cane
177,J A L FERREIRA ME  - ME,0.0002919992446238755,Brazil,BRA,2015,Sugar cane
178,J N DISTRIBUIDORA DE PRODUTOS DE HIGIENE E BELEZA,0.00030951919930130806,Brazil,BRA,2015,Sugar cane
179,J. C. DA SILVA COM. E REPRESENTACAO  - ME,0.0073642209494141405,Brazil,BRA,2015,Sugar cane
180,JALLES MACHADO,15.77908048758618,Brazil,BRA,2015,Sugar cane
181,JASMINE COMERCIO DE PRODUTOS ALIMENTICIOS,7.786646523303347e-07,Brazil,BRA,2015,Sugar cane
182,KRISKAN TRADING,0.00016994356037109554,Brazil,BRA,2015,Sugar cane
183,LIGHTSWEET - INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,9.733308154129183e-07,Brazil,BRA,2015,Sugar cane
184,LOUIS DREYFUS,248.68787461321162,Brazil,BRA,2015,Sugar cane
185,M P ROCA IMPORTACAO E EXPORTACAO - ME,0.014413082714634495,Brazil,BRA,2015,Sugar cane
186,M S COMERCIAL IMPORTADORA E EXPORTADORA DE ALIMENTOS,0.8033444284859448,Brazil,BRA,2015,Sugar cane
187,MAIPUR IMPORT EXPORT COMERCIO LTDA - EPP,2.7635087625588597e-06,Brazil,BRA,2015,Sugar cane
188,MULTIPLA ENGENHARIA TRADING COMPANY,0.0021491144404317234,Brazil,BRA,2015,Sugar cane
189,N. CHAMI IMP. E EXP. - EPP,0.25134126980244714,Brazil,BRA,2015,Sugar cane
190,NARDINI AGROINDUSTRIAL,36.61635993806069,Brazil,BRA,2015,Sugar cane
191,NENACUCAR ACUCAR E ALCOOL LTDA,0.8281252363801944,Brazil,BRA,2015,Sugar cane
192,NUVA TRADING LTDA,1.2685864356128391,Brazil,BRA,2015,Sugar cane
193,ODEBRECHT SERVICOS DE EXPORTACAO S.A,0.19505569007491194,Brazil,BRA,2015,Sugar cane
194,PRODUTOS NATURAIS PLANETA VERDE LTDA,0.19019078799331507,Brazil,BRA,2015,Sugar cane
195,PRONUTRE- PRODUTOS NUTRIENTES INDUSTRIAIS LTDA - ME,7.942379453769414e-05,Brazil,BRA,2015,Sugar cane
196,QUISSAMA INDUSTRIA DE ALIMENTOS LTDA - ME,0.0028172087121311512,Brazil,BRA,2015,Sugar cane
197,RAIZEN ARARAQUARA ACUCAR E ALCOOL LTDA,22.630537720807876,Brazil,BRA,2015,Sugar cane
198,RAIZEN ENERGIA S.A,486.5328937772611,Brazil,BRA,2015,Sugar cane
199,RAIZEN TARUMA,8.925589771624935,Brazil,BRA,2015,Sugar cane
200,RARO DISTRIBUIDORA IMPORTACAO E EXPORTACAO LTDA - EPP,0.02161962407195174,Brazil,BRA,2015,Sugar cane
201,RENUKA DO BRASIL,20.38432243556742,Brazil,BRA,2015,Sugar cane
202,RENUKA VALE DO IVAI - EM RECUPERACAO JUDICIAL,14.520149104329919,Brazil,BRA,2015,Sugar cane
203,REVATI S.A. ACUCAR E ALCOOL,2.8435429560067997,Brazil,BRA,2015,Sugar cane
204,RITANO COMERCIO E REPRESENTACOES LTDA - ME,9.733308154129183e-07,Brazil,BRA,2015,Sugar cane
205,RUI DE QUEIROZ LOPES DA SILVA - ME,0.3532022862970398,Brazil,BRA,2015,Sugar cane
206,S A USINA CORURIPE ACUCAR E ALCOOL,167.5126337610202,Brazil,BRA,2015,Sugar cane
207,SANCHEZ CANO LTDA,0.00016254624617395734,Brazil,BRA,2015,Sugar cane
208,SAO MARTINHO S/A,201.38744121256707,Brazil,BRA,2015,Sugar cane
209,SEM FRONTEIRAS COMERCIO IMPORTACAO E EXPORTACAO LTDA -,2.840272894852161e-06,Brazil,BRA,2015,Sugar cane
210,SJC BIOENERGIA,62.879513677613375,Brazil,BRA,2015,Sugar cane
211,SUCDEN DO BRASIL LTDA.,126.83588611348874,Brazil,BRA,2015,Sugar cane
212,TIMBRO COMERCIO EXTERIOR LTDA,2.9464670444179855,Brazil,BRA,2015,Sugar cane
